date;tkr;index;PE;EPSttm;insiderOwn;shsOutstand;perfWeek;marketCap;forwardPE;EPSnextY;insiderTrans;shsFloat;perfMonth;income;PEG;EPSnextQ;instOwn;shortFloat;perfQuarter;sales;PS;EPSthisY;instTrans;shortRatio;perfHalfY;bookSh;PB;EPSnextYprc;ROA;targetPrice;perfYear;cashSh;PC;EPSnext5Y;ROE;Range52W;perfYTD;div;PFCF;EPSpast5Y;ROI;High52W;beta;divPrc;quickRatio;salesPast5Y;grossMargin;low52W;ATR;emp;currentRatio;salesQQ;operMargin;RSI;volatility;optionable;debtEq;EPSQQ;profitMargin;relVolume;prevClose;shortable;LTdebtEq;earnings;payout;avgVolume;price;recom;SMA20;SMA50;SMA200;volume;change
20171224;AAPL;DJIA S&P500;19.05;9.19;0.08;5.1500001E9;0.6;9.0120002E11;14.35;12.2;-14.09;5.1299999E9;0.03;4.8349999E10;1.78;3.77;61.9;0.77;16.25;2.29230002E11;3.93;10.8;-1.62;1.46;20.02;26.03;6.72;6.43;14.0;187.74;50.49;14.41;12.15;10.7;36.3;114.76 - 177.2;51.11;2.52;17.85;7.9;18.3;-1.24;1.2;1.44;1.2;7.9;38.5;52.5;2.35;123000;1.3;12.2;26.8;63.5;0.99 1.41;Yes;0.86;23.7;21.1;0.6;175.01;Yes;0.73;Feb 01 AMC;26.0;2.694E7;175.01;1.8;1.61;3.76;12.82;16198476;0.0
20171224;GOOGL;S&P 500;35.61;30.02;0.14;6.8266995E8;-0.29;7.2967999E11;25.72;41.56;0.0;6.0648E8;1.61;2.10200003E10;1.72;9.99;80.9;0.49;14.4;1.04600003E11;6.98;22.1;-0.24;1.88;9.95;226.54;4.72;28.7;11.9;1178.57;32.01;146.86;7.28;20.68;14.3;789.62 - 1086.49;34.88;0.0;30.05;13.4;13.3;-1.62;0.9;0.0;5.7;19.0;59.9;35.36;14.68;72053;5.8;23.7;24.0;60.63;1.01 1.57;Yes;0.03;32.0;20.1;0.56;1070.85;Yes;0.03;Jan 25 AMC;0.0;1570000.0;1068.86;1.8;1.61;3.03;11.28;885156;-0.19
20171224;MSFT;DJIA S&P500;28.93;2.96;1.4;7.7100001E9;-1.54;6.5910997E11;22.65;3.78;-6.22;7.6100004E9;2.89;2.30899999E10;2.73;0.86;75.6;0.61;16.72;9.4039998E10;7.01;29.1;0.31;2.16;21.24;11.63;7.35;11.26;9.7;92.13;34.56;17.95;4.76;10.58;29.2;61.95 - 87.5;37.61;1.68;32.55;6.3;11.7;-2.27;0.99;1.96;3.1;4.1;63.1;38.03;1.25;124000;3.1;11.9;26.3;58.97;1.25 1.6;Yes;0.95;17.2;24.6;0.66;85.5;Yes;0.85;Jan 25 AMC;52.2;2.147E7;85.51;1.8;1.39;3.39;16.29;14070844;0.01
20171224;AMZN;S&P 500;294.89;3.96;16.4;4.7988E8;-0.91;5.6066998E11;145.59;8.03;-1.29;4.02350016E8;1.06;1.93E9;36.86;1.85;61.5;1.34;24.32;1.61149993E11;3.48;292.1;-1.06;1.52;17.54;51.26;22.79;85.68;2.1;1268.71;52.46;50.66;23.06;8.0;8.7;747.7 - 1213.41;55.81;0.0;72.68;29.0;7.1;-3.71;1.48;0.0;0.7;23.1;36.5;56.26;17.04;341400;1.0;33.7;2.0;59.94;1.04 1.71;Yes;0.0;-0.3;1.2;0.44;1174.76;Yes;1.0;Jan 25 AMC;0.0;3560000.0;1168.36;1.8;-0.17;5.03;17.33;1575065;-0.54
20171224;FB;S&P 500;32.94;5.38;1.75;2.88E9;-1.65;5.09789995E11;26.71;6.63;-21.71;2.34E9;-2.03;1.592E10;1.17;1.94;73.0;0.93;8.8;3.6490002E10;13.97;170.2;0.98;1.31;15.37;24.52;7.23;13.19;22.2;208.21;50.94;13.31;13.31;28.25;24.6;114.77 - 184.25;54.02;0.0;32.4;62.1;17.1;-3.83;0.71;0.0;13.4;49.4;86.6;54.39;2.71;23165;13.4;47.3;47.7;49.68;0.99 1.84;Yes;0.0;77.7;43.6;0.51;177.45;Yes;0.0;Jan 31 AMC;0.0;1.657E7;177.2;1.8;-0.55;-0.24;9.47;8497174;-0.14
20171224;BABA;null;49.59;3.56;52.36;2.52999987E9;1.58;4.46819992E11;27.03;6.52;0.0;7.8404998E8;-7.14;9.2100004E9;10.04;1.61;40.6;15.17;3.95;2.98300006E10;14.98;-39.1;2.29;6.15;23.51;19.1;9.23;29.15;11.5;208.91;103.1;9.85;17.9;4.94;20.9;86.01 - 191.75;100.76;0.0;28.4;58.9;8.7;-8.06;0.0;0.0;1.7;51.2;62.4;104.96;4.1;50097;1.7;60.7;31.5;51.16;1.41 2.48;Yes;0.28;128.1;30.9;0.65;175.32;Yes;0.23;Feb 01 BMO;0.0;1.932E7;176.29;1.7;-0.09;-1.87;17.06;12515703;0.55
20171224;BRK-B;S&P 500;26.15;7.57;0.0;2.47000013E9;0.07;4.8826001E11;24.43;8.1;0.0;1.18E9;8.41;0.0;2.97;1.8;0.0;0.83;8.44;2.36979995E11;2.06;-11.6;0.0;3.05;18.17;187384.7;0.0;28.6;0.0;206.75;19.21;0.0;0.0;8.8;0.0;158.61 - 200.5;21.44;0.0;0.0;0.0;0.0;-1.29;0.0;0.0;0.0;0.0;0.0;24.78;2.45;0;0.0;7.6;0.0;63.09;1.05 1.31;Yes;0.0;-43.5;0.0;1.18;198.89;Yes;0.0;Nov 17 BMO;0.0;3200000.0;197.92;2.2;1.65;4.43;12.09;3765836;-0.49
20171224;JNJ;DJIA S&P500;24.35;5.76;0.05;2.67000013E9;-1.64;3.74299984E11;17.83;7.86;-12.63;2.67000013E9;2.06;1.58299996E10;3.47;1.72;67.9;0.51;6.82;7.4360005E10;5.03;8.3;-0.05;2.53;2.77;27.56;5.08;7.93;10.6;146.82;21.38;6.08;23.06;7.03;22.1;110.76 - 144.35;21.62;3.36;38.93;11.2;17.0;-2.93;0.8;2.4;1.0;2.0;68.3;26.51;1.55;126400;1.3;10.3;26.1;45.5;1.05 1.14;Yes;0.48;-10.4;21.3;0.87;141.06;Yes;0.36;Jan 16 BMO;55.9;5370000.0;140.12;2.4;-0.35;-0.02;5.81;4665582;-0.67
20171224;XOM;DJIA S&P500;27.39;3.07;0.2;4.26999987E9;1.13;3.58640026E11;20.27;4.14;-1.28;4.23000013E9;3.54;1.30099999E10;1.33;0.99;53.4;0.77;3.69;2.44709999E11;1.47;-51.2;1.72;3.43;3.36;42.68;1.97;14.23;3.8;85.39;-7.59;1.0;84.07;20.64;7.4;76.05 - 91.34;-6.97;3.08;148.32;-25.9;0.6;-8.07;0.82;3.67;0.5;-14.1;28.2;10.41;0.77;71100;0.9;13.5;3.4;61.67;0.95 0.94;Yes;0.22;46.5;5.3;1.05;83.85;Yes;0.14;Jan 26 BMO;99.2;9560000.0;83.97;2.8;1.53;1.53;3.3;10078629;0.14
20171224;JPM;DJIA S&P500;15.41;6.97;0.1;3.52999987E9;1.23;3.79799994E11;14.05;7.65;-0.86;3.45000013E9;8.93;2.5040001E10;1.8;1.7;76.1;0.77;14.16;6.1849997E10;6.14;4.0;-0.6;2.09;23.17;65.72;1.63;10.6;1.0;101.5;23.66;329.69;0.33;8.58;10.7;81.64 - 108.4;24.52;2.24;0.0;6.8;5.9;-0.88;1.21;2.08;0.0;-1.8;0.0;31.62;1.73;251503;0.0;18.6;70.9;62.98;1.32 1.71;Yes;1.24;11.1;40.0;1.14;107.83;Yes;1.24;Jan 12 BMO;28.2;1.277E7;107.45;2.6;2.58;6.02;16.06;14568004;-0.35
